direction,matched_control,seed,horizon,relative_origin,period,transition_advantage_vs_frozen_local,transition_advantage_vs_frozen_all_pre,control_advantage_vs_frozen_local,control_advantage_vs_frozen_all_pre,excess_advantage_vs_frozen_local,excess_advantage_vs_frozen_all_pre
high_to_low_roughness,stable_high_roughness,16,3,108,late,-0.027766643568352387,-0.029932589445951695,0.00034609889626827095,-0.004081734557338623,-0.028112742464620658,-0.02585085488861307
high_to_low_roughness,stable_high_roughness,16,3,111,late,-0.2031787042220582,-0.19705500153390665,0.10986957730238739,0.12328081927739826,-0.3130482815244456,-0.3203358208113049
high_to_low_roughness,stable_high_roughness,16,3,114,late,0.17008564454380976,0.12876465946614946,-0.022821862696175477,-0.06010035042968567,0.19290750723998523,0.18886500989583513
high_to_low_roughness,stable_high_roughness,16,3,117,late,-0.07645331601211891,-0.08125273067620781,0.10717047799865426,0.10551078064478253,-0.18362379401077317,-0.18676351132099034
high_to_low_roughness,stable_high_roughness,16,6,0,early,0.0,0.008842240896244496,0.0,0.011805900466197741,0.0,-0.0029636595699532448
high_to_low_roughness,stable_high_roughness,16,6,3,early,-0.002717761234377364,-0.0013215924393188694,-0.016312660929581724,-0.004476239289766565,0.01359489969520436,0.0031546468504476954
high_to_low_roughness,stable_high_roughness,16,6,6,early,-0.010017415065049023,-0.004300543431804499,-0.025894482897758364,-0.009686136030800985,0.01587706783270934,0.005385592598996486
high_to_low_roughness,stable_high_roughness,16,6,9,early,-0.015379367210550166,-0.00506900963007581,-0.01015267835014999,-0.0006550366807382968,-0.005226688860400175,-0.0044139729493375135
high_to_low_roughness,stable_high_roughness,16,6,12,early,-0.004286999680696291,-0.0030047734829456163,0.011743780178309834,0.004689142400059354,-0.016030779859006125,-0.00769391588300497
high_to_low_roughness,stable_high_roughness,16,6,15,early,-0.018230688900567282,-0.011674714616682846,-0.018135223617142024,-0.010742544193505399,-9.54652834252584e-05,-0.0009321704231774475
high_to_low_roughness,stable_high_roughness,16,6,18,early,0.0040402173810040465,0.001937947303293247,-0.15902468104579176,-0.1536144657909743,0.1630648984267958,0.15555241309426754
high_to_low_roughness,stable_high_roughness,16,6,21,early,-0.005876863475238636,-0.0037735851775108353,-0.004144778636207436,-0.002529992397653502,-0.0017320848390312005,-0.0012435927798573332
high_to_low_roughness,stable_high_roughness,16,6,24,early,-0.05534250196388191,-0.029417230835020014,-0.0018244060609146628,-0.001250260789916885,-0.053518095902967244,-0.02816697004510313
high_to_low_roughness,stable_high_roughness,16,6,27,early,0.0002859698804669186,0.0027209371763636248,0.004805194030172877,0.008605965082845168,-0.004519224149705958,-0.005885027906481544
high_to_low_roughness,stable_high_roughness,16,6,30,early,0.014194758752049647,0.02924423673484064,-0.03843721895810237,-0.0658831063835561,0.05263197771015202,0.09512734311839674
high_to_low_roughness,stable_high_roughness,16,6,33,early,0.0034133828438889235,0.005026598585537931,-0.14198768884876756,-0.1988136209121643,0.14540107169265648,0.20384021949770226
high_to_low_roughness,stable_high_roughness,16,6,36,mid,0.004696448197814521,0.007433381985637699,-0.1463982045565077,-0.20145564991763337,0.1510946527543222,0.20888903190327107
high_to_low_roughness,stable_high_roughness,16,6,39,mid,-0.00123938295747264,-0.0010391126373773263,-0.09000842121113622,-0.1436464651164624,0.08876903825366358,0.14260735247908507
high_to_low_roughness,stable_high_roughness,16,6,42,mid,-0.010671939347332043,-0.013893461698708393,0.12753605192881715,0.07295628785473263,-0.1382079912761492,-0.08684974955344102
high_to_low_roughness,stable_high_roughness,16,6,45,mid,-0.0035622187521484605,-0.0040752496777757274,0.10732578212846611,0.06334288413712916,-0.11088800088061457,-0.06741813381490488
high_to_low_roughness,stable_high_roughness,16,6,48,mid,0.011974504512652237,0.01784608969309906,-0.042832647766563405,-0.040263896134872315,0.05480715227921564,0.058109985827971375
high_to_low_roughness,stable_high_roughness,16,6,51,mid,0.028029441475526384,0.03357195295064441,-0.023107730127879637,-0.01737980612784404,0.05113717160340602,0.05095175907848845
high_to_low_roughness,stable_high_roughness,16,6,54,mid,-0.05453044089217346,-0.05406188374302581,-0.031063251995998076,-0.042243869076261736,-0.023467188896175384,-0.011818014666764076
