seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,post_observations_seen,selected_window_pre_count,selected_window_post_count,selected_window_post_fraction,forecast_block_relation,selected_order,selected_window,selected_lambda,selected_smoothness,inner_objective,search_source,n_stationary_points,outer_block_mse,benchmark_block_mse,relative_rmsfe_block
0,stable_low,0.0,0.0,3,180,234,54,54,18,54,0.75,post,2,72,15861.877294892614,0.9818443737832886,0.3189972705280239,stationary_minimum,2,0.24130929838639206,0.5962484463516238,0.6361703121878053
0,stable_low,0.0,0.0,3,180,237,57,57,15,57,0.7916666666666666,post,2,72,17061.018864110578,0.9824294574863609,0.3125661995033223,stationary_minimum,2,0.7182251448152445,0.25436834917748286,1.6803461955618026
0,stable_low,0.0,0.0,3,180,240,60,60,12,60,0.8333333333333334,post,2,72,16601.711725918638,0.9822115921713868,0.3325041568342321,stationary_minimum,2,0.5011465025086235,0.215479033499798,1.525035110426018
0,stable_low,0.0,0.0,3,180,243,63,63,9,63,0.875,post,2,72,13670.92037555807,0.9806177438426953,0.34833691124015737,stationary_minimum,2,0.06580786860471162,0.09530510084835826,0.8309613800679199
0,stable_low,0.0,0.0,3,180,246,66,66,6,66,0.9166666666666666,post,2,72,14118.051401486204,0.9808871779107274,0.34728394427653125,stationary_minimum,2,0.4603555033603255,0.4390843016707184,1.0239357692482878
0,stable_low,0.0,0.0,3,180,249,69,69,3,69,0.9583333333333334,post,2,72,10701.343708100223,0.9784945945218263,0.35162422894168005,stationary_minimum,2,0.03303100705777081,0.09546128274394698,0.5882301415688685
0,stable_low,0.0,0.0,3,180,252,72,72,0,48,1.0,post,2,48,14429.833445413935,0.987915248240235,0.3418426793336646,stationary_minimum,2,0.11853634143690467,0.16158792465912067,0.856488049825461
0,stable_low,0.0,0.0,3,180,255,75,75,0,48,1.0,post,2,48,18453.783213183535,0.989785847996829,0.3215329375908938,stationary_minimum,2,0.3398406877090197,0.25568422132598706,1.1528842947784967
0,stable_low,0.0,0.0,3,180,258,78,78,0,72,1.0,post,3,72,19636355.315401565,0.9983213470180273,0.32633874147122915,stationary_minimum,1,0.37442580207523135,0.34932102663040826,1.035310266068787
0,stable_low,0.0,0.0,3,180,261,81,81,0,72,1.0,post,3,72,121639722.70936273,0.9997059062393508,0.3333815035757683,stationary_minimum,1,0.05033213397604638,0.04925531117245593,1.0108719329270037
0,stable_low,0.0,0.0,3,180,264,84,84,0,72,1.0,post,3,72,3415119941.148428,0.9999893716622322,0.3091590862550555,stationary_minimum,1,0.45440208829998957,0.18021117750637083,1.5879224804082612
0,stable_low,0.0,0.0,3,180,267,87,87,0,72,1.0,post,3,72,1018199421.562837,0.9999643506467131,0.3028609785624007,stationary_minimum,1,0.4834803968114674,0.10435174827169001,2.1524822072797547
0,stable_low,0.0,0.0,3,180,270,90,90,0,72,1.0,post,2,72,15790.477015780003,0.9818078066720608,0.27283455539750706,stationary_minimum,2,0.09929567557836812,0.30987675038728096,0.5660706931656581
