transition,pre_phi,post_phi,horizon,relative_origin,n_seeds,mean_order,modal_order,mean_window,modal_window,mean_smoothness,median_smoothness,mean_selected_window_post_fraction,frac_lower_boundary,frac_upper_boundary,mean_outer_block_mse,mean_benchmark_block_mse,pooled_relative_rmsfe
high_to_low,0.8,0.0,1,96,30,2.1666666666666665,2,49.6,72,0.948489651794976,0.988735358191402,1.0,0.0,0.1,0.5667945568873876,0.7291133943031697,0.8816887454632295
high_to_low,0.8,0.0,1,99,30,2.1666666666666665,2,48.0,24,0.9626177929469127,0.9899046902922745,1.0,0.0,0.06666666666666667,0.4520896315802044,0.7496034328293525,0.7765983975018361
high_to_low,0.8,0.0,1,102,30,2.2333333333333334,2,45.6,24,0.9755644776848679,0.9914642388293793,1.0,0.0,0.1,0.2455087625600984,0.5389979098018597,0.674900823644908
high_to_low,0.8,0.0,1,105,30,2.2333333333333334,2,44.8,24,0.9869572395186778,0.9915718626222378,1.0,0.0,0.06666666666666667,0.2288363170744814,0.3055504870530844,0.8654081574737235
high_to_low,0.8,0.0,1,108,30,2.1,2,42.4,24,0.970667311320226,0.9904328364660268,1.0,0.0,0.06666666666666667,0.42709987837043367,0.6768993801217799,0.794333110291153
high_to_low,0.8,0.0,1,111,30,2.1,2,44.0,24,0.9739623586084589,0.9874617322770428,1.0,0.0,0.06666666666666667,0.30987756963665725,0.6966984165448407,0.6669183374221622
high_to_low,0.8,0.0,1,114,30,2.2333333333333334,2,44.8,24,0.9769409436747717,0.9899666477381464,1.0,0.0,0.1,0.3764271915440645,0.5966237737226142,0.7943103406242361
high_to_low,0.8,0.0,1,117,30,2.2333333333333334,2,47.2,24,0.9657329133424052,0.9887001667888503,1.0,0.0,0.06666666666666667,0.3084071814823044,0.4248792874708117,0.8519801200400209
high_to_low,0.8,0.0,3,-60,30,1.5333333333333334,1,44.8,48,0.473471719311673,0.37847737752953853,0.0,0.26666666666666666,0.03333333333333333,0.25564227318185145,0.283781402426935,0.9491270917518134
high_to_low,0.8,0.0,3,-57,30,1.4666666666666666,1,43.2,24,0.5029392632501383,0.48499888518970946,0.0,0.16666666666666666,0.0,0.19554195767987584,0.19691433303509737,0.9965092056473713
high_to_low,0.8,0.0,3,-54,30,1.4666666666666666,1,43.2,24,0.5044025645284662,0.4803270224728285,0.0,0.2,0.0,0.1886929826720037,0.1558388991465372,1.1003730338881546
high_to_low,0.8,0.0,3,-51,30,1.4,1,42.4,48,0.4701226477296336,0.4156909785426282,0.0,0.16666666666666666,0.0,0.332775151624923,0.2283897675918802,1.2070829726036791
high_to_low,0.8,0.0,3,-48,30,1.4,1,42.4,48,0.48531873195542946,0.47674395539496495,0.0,0.1,0.0,0.19883948560958312,0.22656981125892434,0.9368073598816755
high_to_low,0.8,0.0,3,-45,30,1.4666666666666666,1,40.8,24,0.5548198599840167,0.596977498544588,0.0,0.06666666666666667,0.0,0.25732413778870783,0.18460754281574912,1.1806346968857608
high_to_low,0.8,0.0,3,-42,30,1.4,1,37.6,24,0.5238577885928797,0.4951908185385848,0.0,0.13333333333333333,0.0,0.20707844206335999,0.16898282344709525,1.1069962848289914
high_to_low,0.8,0.0,3,-39,30,1.4,1,38.4,24,0.5175825372409191,0.45607642864365805,0.0,0.13333333333333333,0.0,0.15159940110593792,0.17189330694132507,0.9391160424034846
high_to_low,0.8,0.0,3,-36,30,1.3666666666666667,1,42.4,24,0.46551480750139035,0.3631094305537626,0.0,0.13333333333333333,0.0,0.2703797222871345,0.30225958930583013,0.9457950023887438
high_to_low,0.8,0.0,3,-33,30,1.4,1,47.2,48,0.45516996084126354,0.3449592446007551,0.0,0.2,0.0,0.2515674511928513,0.20595998401757407,1.1051870822033993
high_to_low,0.8,0.0,3,-30,30,1.4333333333333333,1,42.4,24,0.4534497056338798,0.3348411538465865,0.0,0.26666666666666666,0.03333333333333333,0.2296563335461239,0.20530530582707524,1.0576430670536794
high_to_low,0.8,0.0,3,-27,30,1.4,1,42.4,24,0.4529747724005813,0.3787566127658234,0.0,0.23333333333333334,0.0,0.2926931799972015,0.352113864264238,0.9117268374597388
high_to_low,0.8,0.0,3,-24,30,1.4333333333333333,1,42.4,24,0.49541738772756777,0.42953136634150557,0.0,0.2,0.0,0.22071591112871908,0.2100059442853721,1.0251821294503458
high_to_low,0.8,0.0,3,-21,30,1.3666666666666667,1,45.6,24,0.44847438089427233,0.3769336004416917,0.0,0.2,0.0,0.194039465926561,0.23914525848687385,0.9007704861192863
high_to_low,0.8,0.0,3,-18,30,1.3333333333333333,1,47.2,48,0.41199680133397987,0.3234504728274701,0.0,0.2,0.0,0.25390392626818803,0.31656454072150564,0.89557832674966
high_to_low,0.8,0.0,3,-15,30,1.3333333333333333,1,50.4,48,0.4171993116880399,0.28448587029334366,0.0,0.26666666666666666,0.0,0.1536390445147369,0.22551345421938818,0.8254002008574172
high_to_low,0.8,0.0,3,-12,30,1.3666666666666667,1,49.6,72,0.4493713325489227,0.49570207798114374,0.0,0.3,0.0,0.19476909022350145,0.20832830518139187,0.9669096117775757
high_to_low,0.8,0.0,3,-9,30,1.3666666666666667,1,52.0,72,0.44029372692995994,0.39033317839808607,0.0,0.3,0.0,0.31643598227242753,0.3279799850907122,0.9822437180664708
high_to_low,0.8,0.0,3,-6,30,1.4333333333333333,1,49.6,48,0.454748297978574,0.4046816297138075,0.0,0.3333333333333333,0.03333333333333333,0.2466012637069475,0.2319743451850103,1.0310451179163156
high_to_low,0.8,0.0,3,-3,30,1.3333333333333333,1,46.4,48,0.4193501230673479,0.31589252408047175,0.0,0.36666666666666664,0.0,0.22910142012968226,0.30816983573703727,0.8622214586058974
